asset,Date,Open,High,Low,Close
NOK,2013-05-23,NA,494.2165,483.406,486.1211
NOK,2013-05-22,NA,495.5093,492.6426,494.4545
NOK,2013-05-21,NA,494.4883,489.2785,494.3588
NOK,2013-05-16,NA,490.6902,488.2542,489.2748
NOK,2013-05-15,NA,489.8004,486.4476,488.4997
NOK,2013-05-14,NA,491.0214,486.072,488.8734
NOK,2013-05-13,NA,489.8565,487.9517,489.4567
NOK,2013-05-10,NA,490.942,487.53,488.1554
NOK,2013-05-08,NA,489.3419,485.9267,487.8252
NOK,2013-05-07,NA,486.5964,483.2937,485.9746
NOK,2013-05-06,NA,485.8638,482.8349,485.1077
NOK,2013-05-03,NA,483.7119,476.5004,483.7119
NOK,2013-05-02,NA,480.0243,474.3489,476.5004
NOK,2013-04-30,NA,480.3527,477.5678,480.1342
NOK,2013-04-29,NA,481.1913,476.5135,477.9254
NOK,2013-04-26,NA,480.8971,477.3748,480.6783
NOK,2013-04-25,NA,480.3335,473.8274,480.3335
NOK,2013-04-24,NA,475.0427,471.1362,474.4636
NOK,2013-04-23,NA,471.3728,464.8726,471.3728
NOK,2013-04-22,NA,468.0289,464.9058,465.0135
NOK,2013-04-19,NA,466.9797,460.7633,465.9876
NOK,2013-04-18,NA,462.8889,456.9996,460.7319
NOK,2013-04-17,NA,465.6089,457.235,457.235
NOK,2013-04-16,NA,463.4277,458.5194,462.8556
NOK,2013-04-15,NA,470.8338,462.8524,463.1574
NOK,2013-04-12,NA,473.5794,469.6078,470.2456
NOK,2013-04-11,NA,475.8038,472.5211,473.5444
NOK,2013-04-10,NA,472.5356,468.0986,472.5211
NOK,2013-04-09,NA,470.2087,466.565,468.0939
NOK,2013-04-08,NA,467.3799,463.15,466.3783
NOK,2013-04-05,NA,472.6057,461.8318,463.095
NOK,2013-04-04,NA,476.4233,470.69,471.0948
NOK,2013-04-03,NA,478.4875,473.6999,476.4071
NOK,2013-04-02,NA,476.0226,470.1445,475.0218
NOK,2013-03-27,NA,474.1928,470.1028,471.2112
NOK,2013-03-26,NA,473.9102,470.4126,472.3003
NOK,2013-03-25,NA,477.9392,471.3319,471.3439
NOK,2013-03-22,NA,475.7854,472.4407,474.6105
NOK,2013-03-21,NA,478.2804,472.4941,474.1281
NOK,2013-03-20,NA,479.9683,475.1245,475.8843
NOK,2013-03-19,NA,480.8491,477.4489,477.4865
NOK,2013-03-18,NA,480.4394,473.7732,479.1006
NOK,2013-03-15,NA,483.828,479.0515,480.4466
NOK,2013-03-14,NA,482.0804,477.9869,482.0804
NOK,2013-03-13,NA,481.6157,478.3702,478.5111
NOK,2013-03-12,NA,482.3359,477.9792,480.923
NOK,2013-03-11,NA,479.3692,476.7918,479.3692
NOK,2013-03-08,NA,480.6506,475.8495,478.941
NOK,2013-03-07,NA,479.3016,475.8823,475.8823
NOK,2013-03-06,NA,480.1277,477.0686,477.0907
NOK,2013-03-05,NA,479.2662,472.5723,479.0393
NOK,2013-03-04,NA,472.8873,469.4126,471.7906
NOK,2013-03-01,NA,475.5858,471.3803,471.8564
NOK,2013-02-28,NA,475.8692,472.5524,473.073
NOK,2013-02-27,NA,474.805,470.6245,472.5539
NOK,2013-02-26,NA,474.7303,467.0212,471.8362
NOK,2013-02-25,NA,475.6447,471.1226,474.7303
NOK,2013-02-22,NA,472.9135,468.9044,471.0962
NOK,2013-02-21,NA,476.4204,468.691,469.7826
NOK,2013-02-20,NA,476.4912,473.8346,476.4653
NOK,2013-02-19,NA,475.0374,470.7951,474.9241
NOK,2013-02-18,NA,471.3556,469.2739,470.8132
NOK,2013-02-15,NA,471.2989,468.8594,471.095
NOK,2013-02-14,NA,473.0931,469.6082,469.8739
NOK,2013-02-13,NA,472.7259,470.224,472.6032
NOK,2013-02-12,NA,471.7042,467.8806,471.7042
NOK,2013-02-11,NA,472.2531,468.1194,468.1194
NOK,2013-02-08,NA,472.3191,469.1263,472.278
NOK,2013-02-07,NA,471.3403,463.945,469.2361
NOK,2013-02-06,NA,469.6809,463.9599,463.9702
NOK,2013-02-05,NA,468.3251,463.6085,467.0042
NOK,2013-02-04,NA,472.5989,468.0831,468.6182
NOK,2013-02-01,NA,470.6913,464.3277,470.6913
NOK,2013-01-31,NA,468.3389,465.7858,465.7858
NOK,2013-01-30,NA,468.72,465.8533,467.6149
NOK,2013-01-29,NA,469.0371,467.3891,468.207
NOK,2013-01-28,NA,471.9672,467.3709,467.3832
NOK,2013-01-25,NA,472.421,468.2321,471.2428
NOK,2013-01-24,NA,470.3297,467.5189,469.3524
NOK,2013-01-23,NA,468.8776,463.6521,468.8024
NOK,2013-01-22,NA,468.3056,464.3043,465.2457
NOK,2013-01-21,NA,468.319,466.6197,467.9722
NOK,2013-01-18,NA,468.6057,465.0123,467.5749
NOK,2013-01-17,NA,466.2076,460.9426,466.104
NOK,2013-01-16,NA,461.5491,457.3742,461.3369
NOK,2013-01-15,NA,460.7226,457.4013,459.1593
NOK,2013-01-14,NA,461.1758,458.1631,459.9452
NOK,2013-01-11,NA,460.5608,457.1039,458.1561
NOK,2013-01-10,NA,460.0353,457.8418,458.8449
NOK,2013-01-09,NA,458.8253,455.9293,458.2314
NOK,2013-01-08,NA,457.5578,454.0139,456.0358
