Date,asset,exog,value
2011-12-30,AUD,eqy_z,-0.7558807162487409
2012-01-06,AUD,eqy_z,-0.6616629700026412
2012-01-13,AUD,eqy_z,-0.23845222471991834
2012-01-20,AUD,eqy_z,0.0589557544049335
2012-01-27,AUD,eqy_z,-0.27835477658990704
2012-02-03,AUD,eqy_z,-0.2012259932686712
2012-02-10,AUD,eqy_z,-0.32970110633229277
2012-02-17,AUD,eqy_z,-0.18733265673542787
2012-02-24,AUD,eqy_z,0.5800900747741504
2012-03-02,AUD,eqy_z,0.32518719359535153
2012-03-09,AUD,eqy_z,-0.31184253554654195
2012-03-16,AUD,eqy_z,-0.3214368672937987
2012-03-23,AUD,eqy_z,-0.5907901570122771
2012-03-30,AUD,eqy_z,0.6049959743978581
2012-04-06,AUD,eqy_z,0.6185136185854971
2012-04-13,AUD,eqy_z,1.5513136253233726
2012-04-20,AUD,eqy_z,1.1449589044999164
2012-04-27,AUD,eqy_z,1.0142298740484563
2012-05-04,AUD,eqy_z,2.5456444183760327
2012-05-11,AUD,eqy_z,1.779598602899408
2012-05-18,AUD,eqy_z,1.2514582816292197
2012-05-25,AUD,eqy_z,-0.20266184504138174
2012-06-01,AUD,eqy_z,0.38845884022783816
2012-06-08,AUD,eqy_z,-0.10079470738668062
2012-06-15,AUD,eqy_z,-1.0768017649944523
2012-06-22,AUD,eqy_z,-0.4602842471249109
2012-06-29,AUD,eqy_z,-1.6153945836509038
2012-07-06,AUD,eqy_z,-0.2803998944680199
2012-07-13,AUD,eqy_z,-0.9114239291092794
2012-07-20,AUD,eqy_z,0.6912302668411587
2012-07-27,AUD,eqy_z,-0.6535271196250511
2012-08-03,AUD,eqy_z,0.37333848188146446
2012-08-10,AUD,eqy_z,0.8633490994706069
2012-08-17,AUD,eqy_z,0.4054758869091286
2012-08-24,AUD,eqy_z,1.2599863049665871
2012-08-31,AUD,eqy_z,0.1584216064528453
2012-09-07,AUD,eqy_z,0.14598087396671344
2012-09-14,AUD,eqy_z,-0.7392397918109251
2012-09-21,AUD,eqy_z,0.20940675988349144
2012-09-28,AUD,eqy_z,-0.09034318042889966
2012-10-05,AUD,eqy_z,-0.014383041885435266
2012-10-12,AUD,eqy_z,0.6585586121772128
2012-10-19,AUD,eqy_z,0.5881446847184706
2012-10-26,AUD,eqy_z,0.73016839128395306
2012-11-02,AUD,eqy_z,1.113027882136989
2012-11-09,AUD,eqy_z,1.9329587252471083
2012-11-16,AUD,eqy_z,1.25220792622764
2012-11-23,AUD,eqy_z,0.7064314498037307
2012-11-30,AUD,eqy_z,0.99197457870235
2012-12-07,AUD,eqy_z,0.4125105520485569
2012-12-14,AUD,eqy_z,0.20430856359691274
2012-12-21,AUD,eqy_z,0.32292520591731955
2012-12-28,AUD,eqy_z,1.291984499223908
2013-01-04,AUD,eqy_z,-0.001718491781427689
2013-01-11,AUD,eqy_z,0.566850845280505
2013-01-18,AUD,eqy_z,0.7731249370198559
2013-01-25,AUD,eqy_z,0.23470091326129483
2013-02-01,AUD,eqy_z,0.37318996225802326
2013-02-08,AUD,eqy_z,0.27695900586994293
2013-02-15,AUD,eqy_z,0.6775948938548286
2013-02-22,AUD,eqy_z,-0.20940924947434914
2013-03-01,AUD,eqy_z,0.7804515541075916
2013-03-08,AUD,eqy_z,0.5886274844549686
2013-03-15,AUD,eqy_z,0.16989665701168688
2013-03-22,AUD,eqy_z,-0.9840108773287881
2013-03-29,AUD,eqy_z,-1.5474183228427576
2013-04-05,AUD,eqy_z,-1.8438017180501713
2013-04-12,AUD,eqy_z,-1.867881016805727
2013-04-19,AUD,eqy_z,-1.645151631706828
2013-04-26,AUD,eqy_z,-1.3011903606842736
2013-05-03,AUD,eqy_z,-1.201751033289339
2013-05-10,AUD,eqy_z,-0.9704000889613691
2013-05-17,AUD,eqy_z,-1.0213629669317505
2013-05-24,AUD,eqy_z,-0.88816289218954525
2013-05-31,AUD,eqy_z,-1.06398916010713
2013-06-07,AUD,eqy_z,-1.5218630985270927
2013-06-14,AUD,eqy_z,-1.778075260557098
2013-06-21,AUD,eqy_z,0.3026236014294108
2013-06-28,AUD,eqy_z,0.748697242737586
2013-07-05,AUD,eqy_z,0.2116926232793277
2013-07-12,AUD,eqy_z,0.49666740376579077
2013-07-19,AUD,eqy_z,0.1671218749561933
2013-07-26,AUD,eqy_z,0.3230859112482406
2013-08-02,AUD,eqy_z,0.8800115912289831
2013-08-09,AUD,eqy_z,1.2650935101920895
2013-08-16,AUD,eqy_z,1.215787690622683
2013-08-23,AUD,eqy_z,0.9523245307129432
2013-08-30,AUD,eqy_z,2.920194135459476
2013-09-06,AUD,eqy_z,2.9104082551314105
2013-09-13,AUD,eqy_z,2.4146763080258866
2013-09-20,AUD,eqy_z,1.7177332252917745
2013-09-27,AUD,eqy_z,2.379484056306266
2013-10-04,AUD,eqy_z,1.5568254784988125
2013-10-11,AUD,eqy_z,-0.1035996526404983
2013-10-18,AUD,eqy_z,-0.28074971342424293
2013-10-25,AUD,eqy_z,-1.1054558300588073
2013-11-01,AUD,eqy_z,-0.6876153678100388
2013-11-08,AUD,eqy_z,-0.6252247516579472
2013-11-15,AUD,eqy_z,-0.9334132616465302
2013-11-22,AUD,eqy_z,-1.6877849648296888
2013-11-29,AUD,eqy_z,-1.5040918752757766
2013-12-06,AUD,eqy_z,-1.7638124323798647
2013-12-13,AUD,eqy_z,-1.1134987128664138
2013-12-20,AUD,eqy_z,-1.2687166065096898
2013-12-27,AUD,eqy_z,-1.7231816950794476
2014-01-03,AUD,eqy_z,-1.1671908580425363
2014-01-10,AUD,eqy_z,-1.0009339856307862
2014-01-17,AUD,eqy_z,-0.41578056799856833
2014-01-24,AUD,eqy_z,0.34235501408008706
2014-01-31,AUD,eqy_z,0.8700990266636884
2014-02-07,AUD,eqy_z,0.39166608104245026
2014-02-14,AUD,eqy_z,0.5731675509374244
2014-02-21,AUD,eqy_z,1.2755431278089584
2014-02-28,AUD,eqy_z,0.31850220362581927
2014-03-07,AUD,eqy_z,0.9149216489917738
2014-03-14,AUD,eqy_z,0.7371938730997742
2014-03-21,AUD,eqy_z,-0.12397679429145675
2014-03-28,AUD,eqy_z,0.5788615931056098
2014-04-04,AUD,eqy_z,1.2519326443361631
2014-04-11,AUD,eqy_z,2.148923715513885
2014-04-18,AUD,eqy_z,0.23835058825632446
2014-04-25,AUD,eqy_z,1.7297357749823268
2014-05-02,AUD,eqy_z,0.493583970788546
2014-05-09,AUD,eqy_z,1.0958496853713746
2014-05-16,AUD,eqy_z,1.7971698835598504
2014-05-23,AUD,eqy_z,0.3522323752783248
2014-05-30,AUD,eqy_z,-0.4117155169350797
2014-06-06,AUD,eqy_z,-3.5690491004173492
2014-06-13,AUD,eqy_z,-1.787735112021271
2014-06-20,AUD,eqy_z,-2.866714893153678
2014-06-27,AUD,eqy_z,-1.548538781511915
2014-07-04,AUD,eqy_z,-2.149440265751555
2014-07-11,AUD,eqy_z,-2.354816309000773
2014-07-18,AUD,eqy_z,-1.0706452013605428
2014-07-25,AUD,eqy_z,-0.19249013718855218
2014-08-01,AUD,eqy_z,3.045892342050192
2014-08-08,AUD,eqy_z,1.204738532212107
2014-08-15,AUD,eqy_z,1.2833771467920874
2014-08-22,AUD,eqy_z,1.4998395507243432
2014-08-29,AUD,eqy_z,1.235192680534218
2014-09-05,AUD,eqy_z,1.0951590732442995
2014-09-12,AUD,eqy_z,0.17971443392268616
2014-09-19,AUD,eqy_z,-2.172406033695175
2014-09-26,AUD,eqy_z,-3.100049431578234
2014-10-03,AUD,eqy_z,-1.887125465614302
2014-10-10,AUD,eqy_z,-0.6570709870238671
2014-10-17,AUD,eqy_z,0.3660366359958678
2014-10-24,AUD,eqy_z,0.13855372539116706
2014-10-31,AUD,eqy_z,-0.07141698769135407
2014-11-07,AUD,eqy_z,0.0011945445240334196
2014-11-14,AUD,eqy_z,0.5462407767647225
2014-11-21,AUD,eqy_z,-1.0575346021754917
2014-11-28,AUD,eqy_z,-0.8885198627448183
2014-12-05,AUD,eqy_z,-1.097141874986957
2014-12-12,AUD,eqy_z,-1.5063225467055328
2014-12-19,AUD,eqy_z,-1.3546149485448704
2014-12-26,AUD,eqy_z,-1.1192081383927541
2015-01-02,AUD,eqy_z,-0.29582717648023305
2015-01-09,AUD,eqy_z,0.789677384583588
2015-01-16,AUD,eqy_z,1.4331421048905988
2015-01-23,AUD,eqy_z,2.2079847485155897
2015-01-30,AUD,eqy_z,3.384407429667408
2015-02-06,AUD,eqy_z,2.5237521286686606
2015-02-13,AUD,eqy_z,2.2994666331888056
2015-02-20,AUD,eqy_z,1.9540674553789374
2015-02-27,AUD,eqy_z,1.4307638622050265
2015-03-06,AUD,eqy_z,1.4094938436529056
2015-03-13,AUD,eqy_z,1.4524961689009017
2015-03-20,AUD,eqy_z,0.8179523396412725
2015-03-27,AUD,eqy_z,0.1312153240734224
2015-04-03,AUD,eqy_z,0.12123654146598645
2015-04-10,AUD,eqy_z,0.18656914578659073
2015-04-17,AUD,eqy_z,0.7933916095164464
2015-04-24,AUD,eqy_z,-0.55490037631367
2015-05-01,AUD,eqy_z,-1.0592344204609974
2015-05-08,AUD,eqy_z,-1.673372718352226
2015-05-15,AUD,eqy_z,-1.1665416328731864
2015-05-22,AUD,eqy_z,-1.9539188438315722
2015-05-29,AUD,eqy_z,-1.306956884057237
2015-06-05,AUD,eqy_z,-0.9390258530874116
2015-06-12,AUD,eqy_z,-1.3116853964254684
2015-06-19,AUD,eqy_z,-0.559624085596297
2015-06-26,AUD,eqy_z,-0.11607848597148962
2015-07-03,AUD,eqy_z,1.0126073492361065
2015-07-10,AUD,eqy_z,0.6699826087722021
2015-07-17,AUD,eqy_z,0.20011052249841768
2015-07-24,AUD,eqy_z,0.8340864390727861
2015-07-31,AUD,eqy_z,0.5671224199104891
2015-08-07,AUD,eqy_z,1.0655524338381652
2015-08-14,AUD,eqy_z,0.4425662493226932
2015-08-21,AUD,eqy_z,2.0160525987355102
2015-08-28,AUD,eqy_z,0.7087203922434746
2015-09-04,AUD,eqy_z,1.1748414201819202
2015-09-11,AUD,eqy_z,0.3629884358193949
2015-09-18,AUD,eqy_z,0.20028556988267976
2015-09-25,AUD,eqy_z,0.1284652211539492
2015-10-02,AUD,eqy_z,-0.05579235107346148
2015-10-09,AUD,eqy_z,1.1724186346115428
